
MOVIES
========

Batman Begins          2005  PG-13  Warner Bros.        
The Dark Knight        2008  PG-13  Warner Bros.        
The Dark Knight Rises  2012  PG-13  Warner Bros.        

TOP CAST
========

Batman Begins              Christian Bale          Bruce Wayne                   
Batman Begins              Gary Oldman             Commissioner Gordon           
Batman Begins              Katie Holmes            Rachel Dawes                  
Batman Begins              Liam Neeson             Ra's Al Ghul                  
Batman Begins              Michael Caine           Alfred                        
The Dark Knight            Aaron Eckhart           Harvey Dent                   
The Dark Knight            Christian Bale          Bruce Wayne                   
The Dark Knight            Heath Ledger            Joker                         
The Dark Knight            Maggie Gyllenhaal       Rachel Dawes                  
The Dark Knight            Michael Caine           Alfred                        
The Dark Knight Rises      Anne Hathaway           Selina Kyle                   
The Dark Knight Rises      Christian Bale          Bruce Wayne                   
The Dark Knight Rises      Gary Oldman             Commissioner Gordon           
The Dark Knight Rises      Joseph Gordon-Levitt    John Blake                    
The Dark Knight Rises      Tom Hardy               Bane                          
